g1,g2,g3,g4,g5,g6,Class
0.333333,0.333333,0,1,0.5,0,1
0,0.333333,0.666667,0,1,0,1
0,0,1,1,0,0.5,1
0,0.666667,0.333333,0,0,1,1
0.333333,0.333333,1,1,1,0.5,2
0.666667,0,1,0.5,1,0.5,1
0,1,0,0,0.5,1,1
0.666667,0,0,1,0.5,1,2
0,0.666667,0.666667,0.5,0,1,1
0,1,0,1,0,0,1
1,1,1,0.5,0,0.5,2
1,0,0,0,1,1,1
1,1,1,1,0,0.5,2
0,1,0.333333,0.5,0,0,1
0.666667,0.333333,0.333333,0.5,1,0,1
1,1,0.666667,0.5,1,1,3
0,1,0,1,1,0.5,2
1,1,0,0,0.5,1,2
0.333333,0.333333,0.333333,0.5,1,1,2
0.333333,0,0.333333,0.5,0.5,0,1
1,0.333333,1,0.5,1,0.5,2
0.333333,0.333333,1,0,1,1,1
0.666667,0.333333,0.666667,0,0,1,1
1,0.666667,0,0.5,0.5,0,1
0.333333,0.666667,0,1,1,0.5,2
0.666667,0,0,1,0.5,0.5,1
0.333333,0,0,0,1,1,1
0,0,0.666667,0.5,1,1,1
0,0.333333,0.666667,0.5,0,0.5,1
0.333333,0.333333,0.333333,0.5,0.5,0,1
0.666667,1,0.666667,0,0,0.5,1
1,0,0.333333,0.5,0.5,0.5,1
0,0.333333,0.333333,0,0,0,1
0,0.666667,0,0,1,1,1
0.666667,0.333333,0.333333,0.5,0,0,1
1,0.333333,0.666667,1,1,0,2
0,0,1,0,1,1,1
0.333333,0.333333,0.333333,0.5,1,0.5,1
0,0,1,0.5,0.5,0,1
0.333333,0,0,1,0,1,2
0.333333,1,0,0.5,0,0.5,1
1,0.666667,0.666667,1,1,0.5,3
0,1,0.666667,0,1,1,1
1,0.666667,0.666667,0,0,0,1
0,0.333333,0.666667,0.5,0,0,1
0.333333,0.666667,0.333333,0,1,1,1
1,0.333333,1,1,1,1,3
1,0.333333,1,0,0,0.5,1
1,1,0.333333,0.5,1,1,3
1,0,0.666667,0,1,1,1
1,1,0.666667,0.5,0,1,3
0.666667,0,0,0,1,1,1
1,1,0.666667,0.5,0,1,3
0.666667,0,0.333333,0,1,0.5,1
0.333333,0,0.666667,0,0,0.5,1
0.333333,0.333333,0.666667,1,1,0,1
0.333333,0.666667,0.666667,1,1,0,1
1,1,0,0.5,0,0,1
0,0,0.333333,0.5,0,0,1
0.333333,0.333333,0,1,0.5,0.5,1
1,0.333333,0,1,1,0,1
0.666667,0.333333,0.666667,0,0.5,1,1
0.333333,0.333333,0,0,0,0,1
0,0.333333,0.666667,0,0,1,1
1,0.666667,0.333333,1,0.5,0.5,2
0,0.333333,1,1,1,0,1
0,0.666667,0,0,1,0.5,1
0.333333,0,1,0.5,1,1,2
0.666667,0.666667,1,0.5,1,0.5,2
0.333333,1,0.333333,0.5,1,0,1
0.666667,0,0.666667,0.5,0,0,1
1,0.333333,0,0.5,0,1,2
1,1,0.666667,0,0.5,1,2
0.666667,0.333333,0.666667,0.5,1,0,1
1,0.666667,0.333333,1,0.5,0,1
1,0.333333,1,0.5,0.5,1,2
0,1,0.666667,0.5,0.5,0.5,1
0.333333,1,0,0,1,0.5,1
0.333333,0.333333,0.666667,1,0.5,0,1
0.333333,0.666667,0.666667,0,0.5,0.5,1
0,0.666667,1,1,0,0,1
0,1,1,1,0,0.5,2
0,0.333333,0,0.5,0.5,0.5,1
0,0.333333,1,1,0,0,1
0,1,0.333333,0,0.5,0.5,1
0.666667,0.333333,0.333333,0,1,0.5,1
0,0.333333,0.333333,1,1,0.5,1
0,0.333333,0,0.5,1,0,1
1,1,0.666667,1,0,1,3
0,0,0.333333,0.5,0.5,0.5,1
1,0,1,0.5,0.5,1,2
0.666667,0,1,0,0.5,1,1
1,0.666667,0,1,0,1,3
0,1,0,0,1,0,1
1,0,0.333333,1,0.5,0.5,2
1,0,0.333333,0,0.5,0,1
0.666667,1,0,0.5,1,0,1
0,0.666667,0.333333,0,0,0.5,1
0.333333,0,0,0.5,0,0.5,1
0.666667,1,1,0,0.5,1,2
1,0.666667,0,1,0,1,3
0.666667,0,0.333333,1,0.5,1,2
0.333333,0,0,1,0,0.5,1
0,0.666667,0,1,1,0.5,2
1,0,0.666667,1,0,0,1
0,0.333333,0,1,0,1,2
0.666667,0.333333,0.666667,0,0,0,1
0,0.666667,0,0.5,0,0,1
0.333333,0,0.666667,0,1,0.5,1
0,0.333333,0.333333,0,1,0.5,1
0.666667,1,0.333333,1,0.5,1,3
0,1,0.666667,0.5,0.5,0.5,1
1,0.333333,0.666667,0,1,0.5,1
0,0.333333,0,0.5,1,1,1
0,0.333333,1,1,1,0.5,1
0.666667,0.333333,1,1,1,0,1
0,0.333333,0,1,1,0,1
1,0.666667,0,0,0,0,1
1,1,0.666667,0,0,0.5,1
0.666667,1,1,0,1,0.5,1
0,1,0.333333,0,0.5,0.5,1
0.666667,0.333333,0.333333,0,0.5,0,1
0.333333,0.666667,1,0.5,0.5,1,2
0,1,0.666667,0.5,1,1,2
0.333333,0,0.333333,0.5,0.5,0,1
0.333333,0.666667,0.333333,0,0,0,1
0,1,1,0,0.5,1,1
0.666667,0.333333,0.333333,1,0.5,1,3
0,0.666667,0,1,0,0.5,1
0,0.333333,0.333333,0.5,1,1,1
0.333333,0.666667,0,0.5,1,0,1
0.666667,1,0.333333,0,0.5,1,2
0,0.666667,1,0,0,0.5,1
1,1,1,1,0,0,2
0.666667,0,0.666667,1,0,0.5,1
0.666667,1,0.333333,1,0,1,3
1,1,0,0.5,1,0,1
0,0,1,0,0.5,0,1
0.333333,1,0.333333,0,1,1,2
0,1,0,0,0.5,0,1
1,1,0,1,0,0,1
0.333333,0.333333,0,0,1,0.5,1
0.333333,0.666667,0.666667,0,0.5,0.5,1
0.333333,0.666667,1,0.5,1,0,1
0,1,0.333333,0,1,1,1
0.666667,0.666667,0,0.5,1,0,1
0.333333,0.666667,1,0,1,0.5,1
0.333333,0.333333,0.666667,1,0,1,2
0.666667,0.333333,0.333333,0,0.5,0,1
0,1,0,1,0.5,0,1
1,0.333333,1,0,0.5,0.5,1
0.666667,0,0.666667,1,1,0,1
0,0,0,0.5,0,0.5,1
0.666667,0,0.666667,0.5,0,1,1
0.333333,1,1,1,0.5,1,3
1,0.666667,1,1,0,0.5,2
0.666667,0.666667,1,1,1,0.5,2
0.666667,1,1,0,0.5,1,2
1,0,0.666667,0,1,1,1
1,1,0.666667,0,1,1,2
1,0,0.666667,1,1,0.5,2
0.333333,0.333333,0.666667,0.5,0.5,0,1
0,0.666667,0.333333,1,0.5,0.5,1
0.333333,0.666667,0.333333,0.5,0,0.5,1
0.333333,1,0.333333,0,0,0,1
0,0.333333,0,0,1,0.5,1
0.666667,1,1,1,0,0.5,2
0.333333,0.666667,0.333333,0,0,0,1
0.666667,0,1,1,0.5,1,2
0.333333,1,1,0.5,1,0,1
1,0.333333,0.666667,0,0,0.5,1
0,0,0.333333,0.5,0.5,1,1
0.333333,1,0.333333,0.5,1,1,2
0.333333,0.666667,0.666667,1,1,0,1
1,0.333333,0,1,0,0,1
0.333333,0.333333,0.333333,1,0.5,1,2
0,0,0.333333,0.5,0,0,1
0.333333,1,0,0.5,0.5,0,1
0.666667,0.666667,0.333333,1,0.5,0.5,2
0.333333,0.333333,1,0,0.5,0,1
1,0.666667,0.666667,0,0,0,1
1,0.333333,0.333333,1,0,1,3
0.333333,1,0.333333,0,1,1,2
0.333333,1,1,0.5,1,0.5,2
0,1,1,0.5,1,1,2
0.666667,0.666667,0.333333,1,1,0,1
0.666667,0.333333,1,1,1,0.5,2
1,0.666667,0.666667,1,0,0.5,2
0.333333,0,0.333333,0.5,1,0,1
1,1,1,1,1,1,3
0.666667,0.666667,0.666667,0,1,0,1
0.666667,1,0.333333,0,0.5,0.5,1
0.333333,1,0.333333,0.5,1,0.5,1
1,1,1,1,1,0.5,3
0.666667,0.666667,0.666667,1,0.5,0,1
0.333333,1,0.333333,0,1,0.5,1
0,0.666667,1,0.5,1,0,1
0.333333,0.666667,0.333333,0.5,1,0,1
0.666667,1,1,1,1,0,2
0,0,0,0.5,0,0.5,1
1,0.333333,0.666667,1,1,0,2
0,0.333333,0.333333,0.5,0,1,1
1,0.666667,0,0,0.5,0,1
0.333333,0,1,1,1,0.5,1
0.333333,1,0.666667,0.5,1,0,1
0.666667,0.333333,0.333333,0.5,1,0.5,1
0.666667,0.333333,0.666667,0.5,1,1,2
0.333333,1,0,1,0,1,2
0,0.333333,0.333333,0,1,0,1
0,0,0,1,0,1,1
0.333333,0.666667,1,0,0,1,1
0,0,0.333333,0.5,0.5,1,1
0,0.333333,0.666667,0,1,0.5,1
1,0,0.666667,1,0,0,1
0.333333,1,0,0.5,0,0,1
1,0.666667,0.333333,1,0,0.5,2
1,1,0.333333,1,0.5,0,2
0.333333,0.666667,0.666667,1,0.5,1,3
0,0.333333,1,0,0,0.5,1
0.333333,0,0.333333,0.5,0.5,0,1
0.666667,0.333333,1,1,1,0.5,2
0.666667,1,0,0,0.5,0.5,1
0,0.333333,0.666667,0,1,0.5,1
0.333333,0.333333,0,0.5,0,0,1
0,0,0.333333,0,0,0.5,1
0.333333,0,0.666667,0.5,0,0.5,1
0,1,0.333333,0.5,0,1,1
0.666667,0,0,0.5,0.5,0.5,1
0.333333,0,0.333333,0,0.5,0,1
0.666667,0.333333,0,0.5,1,1,2
0.333333,1,0.666667,1,1,1,3
0.333333,0,0,0.5,0,0.5,1
0.333333,0.333333,0.333333,1,1,0,1
0.666667,0.666667,0,1,1,0,1
0,0.666667,0,0,0,0.5,1
0.666667,0.666667,0.666667,0.5,0.5,0,1
1,1,0.666667,0.5,1,1,3
0.666667,0.333333,0.666667,0.5,0.5,1,2
0.666667,0.333333,1,1,1,1,3
0.666667,0.333333,0,1,0.5,0,1
1,1,0.333333,1,1,0,2
0.333333,0,0,1,0.5,0.5,1
0.666667,0,0,0,0,0,1
0.666667,0.333333,0,0.5,0.5,0.5,1
1,0.666667,1,0.5,0.5,1,3
0.666667,0.333333,0,1,0.5,1,2
1,1,1,1,0.5,1,3
0.333333,0.666667,1,0.5,0,0,1
0.666667,1,0,1,0.5,1,3
0.333333,1,0.666667,0.5,1,1,2
0,0.666667,0.666667,1,0,0,1
0.333333,0.666667,1,0.5,1,1,2
1,0.666667,1,0.5,0.5,0,1
1,1,0,1,0.5,1,3
0.333333,0,0.333333,1,0,0,1
1,1,0,1,0,0,1
0.333333,0.666667,0,1,0.5,1,2
0.333333,0,0.666667,0,1,1,1
0.666667,0.666667,0.333333,1,0.5,1,3
0.333333,1,0.333333,0,1,0.5,1
0.666667,0.333333,0.333333,0,1,1,1
0,0.333333,0.333333,0.5,0,0,1
0,0.666667,0,0.5,0,1,1
1,0,0,1,0.5,1,2
0,0.333333,0.666667,0,1,0,1
1,0.666667,0.333333,1,1,1,3
0,0.333333,1,0.5,1,1,2
1,0.666667,0.666667,1,0.5,0,2
0.333333,0.333333,0,0.5,0.5,0,1
0,1,0.333333,1,1,0,1
0.333333,0,1,1,0.5,0.5,1
0.333333,0,1,0,1,1,1
0.666667,0.333333,0.333333,0,0.5,1,1
0.333333,0.666667,0.333333,0.5,1,0.5,1
0.333333,0.666667,0.666667,0,0.5,0,1
1,0.666667,1,0,1,0,1
0,0.333333,0.333333,0.5,0,0.5,1
0.333333,0.666667,0.333333,1,0,0,1
1,1,0.666667,1,0.5,1,3
1,0.333333,0.333333,0,0,0.5,1
0.333333,1,0,1,0,0,1
0.333333,0.333333,0.666667,1,0.5,0.5,1
0.333333,0,1,1,1,0.5,1
1,0.666667,0,0.5,0,0.5,1
1,0.666667,1,1,0.5,1,3
1,1,0.333333,0,0,0.5,1
0.666667,0.666667,1,0.5,0.5,0,1
1,0.333333,0.666667,1,0.5,0.5,2
0.666667,1,1,0,0.5,0.5,1
0.666667,0.666667,1,1,1,0,2
0.333333,1,0.333333,1,0.5,0.5,2
0.666667,0.333333,0.666667,0,0.5,1,1
0.333333,0.666667,0.333333,1,1,1,3
0.666667,0.333333,0,0.5,1,1,2
0.333333,0,0.333333,0.5,1,1,1
0,0.666667,1,1,0.5,0.5,2
0.333333,0,0,0.5,0.5,1,1
0,1,1,1,0.5,0.5,2
1,1,0.666667,0.5,1,0.5,2
1,0.666667,1,0,0,1,2
1,1,0.666667,1,0,0.5,2
1,0.666667,0.333333,1,0.5,0.5,2
0.333333,0,0.333333,0.5,0.5,1,1
0.333333,0,0.333333,0,0,1,1
0.666667,0,0.666667,1,0,1,2
0,1,1,0.5,0.5,1,2
0,0.666667,1,0.5,1,0.5,1
0,0,0.333333,1,1,0,1
0.333333,1,1,1,0,0.5,2
0.666667,1,0.666667,0.5,0,0,1
0.333333,0.333333,0.333333,0.5,1,0.5,1
0.333333,1,0.666667,0.5,1,0,1
0.333333,0,0.666667,0.5,1,0,1
0,1,0.333333,0,0,1,1
0.666667,0,0.666667,0.5,0.5,0.5,1
1,0.666667,0.333333,0,1,1,2
0.333333,0.333333,0.333333,0.5,0.5,0.5,1
0.333333,0.333333,0,0.5,1,1,2
0.333333,0,0,0,0,0.5,1
0.333333,0.666667,0.333333,0,0,1,1
0,0,0,0.5,0,1,1
0.333333,0,0.333333,0,1,1,1
1,0.666667,0,0.5,0,0.5,1
0.666667,0.333333,0.666667,0,1,0,1
0,0,0.333333,1,0.5,0,1
0,0.666667,0,0.5,1,0,1
0.333333,1,0.333333,1,0.5,1,3
0.666667,0,0,0,1,0,1
0.333333,0.333333,0,1,0.5,0.5,1
1,0.666667,0,1,1,0,2
0.333333,0.666667,0.333333,0,0,0.5,1
1,0,0,0.5,0,0.5,1
0.666667,0.666667,0.666667,0,1,0,1
0,0.666667,0.666667,0.5,1,0,1
0,0.333333,0,0.5,1,0,1
0.666667,0,0.333333,0.5,0,0.5,1
0.666667,0,0,0,1,1,1
0.333333,0,0,0.5,0,1,1
0.666667,0.666667,0.333333,0,0,0.5,1
0,0.666667,0.666667,0,1,1,1
1,1,0.666667,0.5,0.5,0,1
0.666667,0.666667,1,1,0.5,0,1
0.333333,1,1,0.5,0.5,0,1
0.666667,0.666667,0.333333,0.5,1,0.5,1
0.333333,0,0.333333,1,0.5,0.5,1
0,0.333333,0.666667,0.5,0,1,1
0.666667,0.666667,0,1,1,0.5,2
0.333333,0.333333,0.666667,1,0,1,2
0.666667,0.333333,1,1,0.5,0,1
0,0,0.333333,1,0.5,0,1
1,1,0,0,1,1,2
1,0,1,0,0.5,1,1
0,0.666667,0,0.5,1,0.5,1
1,1,0.333333,0,1,0,1
1,1,0.666667,0.5,0,0,1
0.666667,0.666667,0,0,0,0.5,1
0,1,0.333333,0,1,0,1
0.333333,0.666667,0.666667,0,0.5,1,1
0,0.333333,1,1,1,1,2
0,0,0.333333,1,0.5,0.5,1
0,0,0.666667,1,0,1,1
1,0,0.666667,0,0.5,0.5,1
0.333333,0.333333,0.333333,0.5,0,0,1
0.666667,0,0.333333,0.5,0.5,1,2
0.333333,0.666667,1,0,0.5,0,1
0,0.333333,0.666667,0.5,0.5,1,1
0,0,1,0.5,0.5,0.5,1
0.333333,1,0,1,1,0,1
0.333333,0.333333,0.666667,0.5,1,0.5,1
0.666667,0.666667,0,0.5,0.5,0,1
1,1,1,1,0,0.5,2
0,0,0,0,0.5,1,1
0.333333,0.666667,1,1,0.5,1,3
0.666667,0.666667,0.666667,1,1,1,3
0,1,0.666667,1,1,0,1
0,0,0.666667,0,0,1,1
0.333333,0.666667,1,0.5,0.5,1,2
0,1,0,1,1,1,3
1,0.333333,0.666667,0.5,1,0.5,2
1,0.333333,1,0.5,1,1,3
0,0.666667,0,0.5,0,0,1
0.333333,1,0.333333,1,1,0.5,2
1,0.666667,0.333333,0,1,1,2
1,0.666667,0.666667,0.5,0.5,0,1
0.666667,0.666667,1,0,0.5,0,1
0.666667,1,0.666667,1,0.5,0.5,2
0.333333,1,0.666667,0.5,1,1,2
