g1,g2,g3,g4,Class
0.222222,0.111111,1,0.833333,4
1,0.666667,0.166667,0.833333,4
0.222222,0.777778,0.166667,0.333333,2
1,0.555556,0,1,4
0.888889,0.111111,0.5,0.166667,3
0.777778,0.111111,0.666667,0.833333,4
0.666667,0.222222,0.666667,1,5
0.888889,1,0.5,0.666667,5
0.444444,0.666667,0.833333,0.666667,5
0.333333,1,0.166667,0.833333,4
0.555556,0,1,0.333333,3
0.111111,0.555556,0.666667,0.166667,2
0.777778,0.777778,0.166667,1,5
0.222222,0.666667,0.5,0.166667,2
0.333333,0.111111,0.166667,0.666667,2
0.333333,0.555556,0.5,0.5,3
0.777778,0.222222,0.833333,0.333333,4
0.444444,0.555556,0.5,0,2
0.333333,0.111111,0.666667,0.666667,3
0.333333,0.666667,0.833333,0.5,4
0.222222,0.333333,0,0.5,1
0.555556,0.111111,0.333333,1,4
0.777778,0.888889,0.5,1,5
0.888889,0,1,0,3
0.888889,0.666667,0.166667,0,2
0,0.111111,1,0.666667,3
0.111111,0.333333,0.666667,1,4
0.666667,1,1,0,5
0,0.222222,0.833333,1,4
0.333333,0.111111,0.5,1,4
0.222222,0.444444,1,0.833333,4
0.444444,0.555556,0.333333,0.5,3
0.111111,0.777778,0.166667,0.166667,2
0.444444,0.333333,1,0.166667,4
0,0.777778,0.666667,0.5,3
0.222222,0.111111,0.166667,0.166667,1
1,0.333333,0.166667,1,4
0.333333,0.222222,0.666667,0.333333,2
0.222222,0.333333,0.166667,0,1
0.888889,0,1,0.5,4
0.555556,0.333333,0.333333,0,2
0.444444,0.888889,0.166667,0.166667,2
0.444444,0.333333,0.333333,0.666667,3
0.666667,0.111111,0.333333,0.666667,3
0.666667,0,0.5,0.833333,4
0.111111,0.444444,0.333333,0,1
0.777778,0.111111,0.333333,1,4
1,0.444444,0.833333,0.5,5
0.777778,1,0.833333,1,5
0.777778,0.888889,0.5,0.833333,5
0.555556,1,0.666667,0.333333,4
0.888889,0.444444,1,0.5,5
0.111111,0.222222,0,0.833333,1
0.777778,0.555556,0.166667,0.833333,4
0.222222,0.555556,1,0.666667,4
0,0.666667,0.666667,0.833333,4
0,0,0.666667,0.833333,2
0,0,0.166667,0.666667,1
0.888889,0.555556,0.166667,1,4
0.666667,0,0.666667,0.166667,2
0,1,0.833333,0.666667,4
0.777778,0,0.666667,0.5,3
0.444444,0.111111,0,1,2
0.222222,0.111111,0.333333,0,1
0.444444,0.111111,0.833333,0.666667,4
0.111111,0.888889,0.333333,0.166667,2
0,0,0.833333,0.666667,2
0.444444,0.333333,0.666667,0.333333,3
0.666667,1,0.833333,0.166667,5
0.111111,0.555556,0.166667,0.5,2
0.888889,0.555556,0.166667,0.833333,4
0.333333,0.888889,0.5,0.833333,4
0.111111,0.888889,0.666667,0.666667,4
0.222222,0.222222,0.666667,0.166667,2
0,0.666667,0.166667,0.833333,2
0.222222,0.555556,0.166667,0.833333,3
0.777778,0.333333,0.166667,0.666667,3
0.666667,0.555556,1,1,5
0.111111,0.888889,0,1,3
0.555556,0.333333,0.5,0.666667,4
0.666667,0.777778,0.166667,0.333333,3
0.333333,0.888889,0.166667,1,4
0.333333,0.333333,0.166667,0.833333,3
0.666667,0.222222,0.666667,0.333333,3
0.555556,0,0.166667,1,3
0.888889,0.555556,0.5,0,3
0.333333,1,0.666667,0.666667,5
0.222222,0.111111,0.333333,0.333333,1
0.444444,0.555556,0.5,0.166667,2
0.333333,0.222222,0.5,0.166667,2
0.111111,0.111111,0.666667,0.5,2
0.222222,0.222222,0,1,2
1,1,1,1,5
0.333333,0.111111,0,1,2
0.333333,0.888889,0.833333,0.333333,4
0.777778,0.666667,0.666667,0.333333,4
0.222222,0.777778,1,0.166667,4
0,0,0.5,1,2
0.333333,0.777778,1,0.333333,4
0.444444,0.444444,0.833333,0,3
0.222222,0.222222,0.833333,0.333333,3
0.222222,0.666667,1,1,5
0.555556,0.333333,0.5,0.5,3
1,0.777778,0.666667,0.833333,5
0.222222,0.666667,0.166667,0.833333,3
0.888889,0,0.333333,0,2
0.888889,0.555556,0,0.333333,3
0.222222,0.222222,0.5,0.166667,1
0.777778,0.111111,0,0.166667,1
0.777778,0.666667,0.333333,1,5
0.777778,0.444444,0.5,0.833333,4
0.222222,1,0.333333,0.166667,3
0.777778,0.111111,0.166667,0.666667,3
0.111111,0.555556,0.833333,0.166667,3
0.222222,0.777778,0.5,0.5,3
1,0.444444,0.333333,0.5,4
0.333333,0.444444,0.333333,0.5,2
1,0.333333,0.833333,1,5
0.444444,0.111111,0,0,1
0.444444,0.777778,0.333333,1,4
0.333333,0,0.166667,0.166667,1
0.222222,0.333333,0,0,1
0.111111,0.111111,0.333333,0.833333,2
0,0.333333,0.333333,0.5,2
0.444444,0.333333,0.666667,0,2
0.111111,0.222222,0.166667,1,2
0.222222,1,0.833333,0.666667,5
0.111111,1,0,0.333333,2
0.555556,0.555556,0.166667,0,2
0.222222,1,0.5,0.666667,4
0,0.666667,1,0,3
0.666667,0.555556,0,0.5,2
1,0.333333,0.166667,0.333333,3
0.666667,0.888889,0.666667,0.166667,4
0.444444,0.111111,0.333333,0.666667,2
0.666667,0.888889,0.666667,0.5,5
0.333333,0.222222,0,0.666667,2
0.555556,0.777778,0.5,0.166667,3
0.444444,0.111111,0.333333,0,1
0.555556,0.333333,0,0.166667,1
0.444444,0.777778,0.5,1,5
0.333333,1,0.833333,0.5,5
0.444444,0.888889,0.5,0.833333,5
0.222222,0.444444,0.333333,1,4
0.333333,0,0.833333,0.666667,3
0.666667,1,0,0.333333,3
0,0.222222,1,0.5,3
1,0.333333,0,0.833333,4
1,0.555556,0.666667,0.666667,5
0.111111,1,1,0.333333,4
0.111111,0.777778,0.833333,0.333333,4
1,0.444444,0.666667,1,5
0.555556,0.333333,1,0.166667,4
0,0.555556,0.666667,0,2
1,0.555556,0.5,1,5
0.555556,0.222222,0.666667,0.5,3
0.333333,0.444444,0.666667,0.333333,3
0.666667,1,0.833333,0.5,5
0,0.777778,0,1,3
0.555556,0.555556,0.666667,0,3
0.333333,0.555556,0.333333,0.833333,4
0.666667,0.555556,1,0.833333,5
0,0.888889,0.5,0,2
0.444444,1,0.166667,1,4
0.777778,0.444444,0.333333,1,4
0.777778,1,0.833333,0,4
0.111111,0.111111,0.5,0.5,2
0.888889,0.555556,0.333333,0.666667,4
0.222222,0.555556,0.166667,1,3
0.777778,0.111111,0.833333,0.333333,4
0,1,0.5,0.333333,3
0,0.666667,1,0.166667,3
1,0.333333,0.166667,0.833333,4
0.888889,0.777778,0.833333,0.166667,5
0.444444,0,0.5,0.833333,3
0.777778,0.444444,0,0.833333,3
1,1,0.166667,1,5
1,0.333333,0.166667,0.166667,2
0.777778,0,0.833333,0.333333,4
0.555556,0,0.5,0.5,2
0,0.777778,0,0.833333,2
0.444444,0.555556,1,0.5,4
0.333333,0,0.666667,0.833333,3
0,0.222222,0.166667,0.5,1
1,1,0.333333,0,4
0.333333,0.333333,0.833333,1,4
0.888889,0.333333,0.5,1,5
0.888889,1,0.5,0.5,5
1,0.888889,0,0.666667,4
0.333333,0.444444,0.5,0.5,3
0.555556,0,0,0.666667,2
0,0.222222,0.5,0,1
0.777778,0,1,0.666667,4
0.888889,0.555556,1,0.666667,5
0.444444,0.555556,1,0.5,4
0.111111,0.777778,0.333333,0.166667,2
0.888889,0.888889,0.166667,0.166667,3
0.444444,0.777778,0.833333,0.333333,4
0.666667,0,0.166667,0.666667,2
0,0.444444,1,0.666667,4
0.666667,0.666667,0,1,4
1,1,0.333333,0.5,5
0.444444,0.111111,0,0.5,1
0,0.777778,0,0.333333,1
1,0.555556,0.5,0.833333,5
0.111111,0,0.166667,0.833333,1
0.222222,0,0.833333,1,4
0.222222,0,0,0.833333,1
0.444444,0.333333,0.5,0.166667,2
0.222222,0.777778,1,0.5,4
0.888889,0.777778,0,0.166667,3
0.444444,0.333333,0,0.166667,1
0.777778,0,0.333333,0.833333,3
0,1,0.833333,0.5,4
1,1,0.333333,0.5,5
0.777778,0.444444,1,0.333333,5
0.777778,1,0.166667,1,5
0.666667,0.555556,0.333333,0,2
0.555556,0.555556,0.666667,0.333333,4
1,0.777778,0.5,0,4
1,0.333333,0.5,0,3
1,0.111111,0.333333,0.166667,2
0.777778,0.111111,0.166667,0.5,2
0.777778,0.222222,1,0.666667,5
0.222222,0,0.5,1,3
0.222222,0.555556,0.833333,0.166667,3
0.444444,1,0,0.666667,3
0.444444,0.555556,0.5,0.333333,3
0.333333,0.777778,1,0,4
0.777778,0.555556,0,0.333333,2
0.444444,0.777778,0.166667,0.166667,2
0.333333,0.333333,1,0.5,4
0.777778,0.444444,0,0.166667,2
1,0.666667,0.833333,1,5
0.333333,0.444444,1,0.333333,4
0.444444,0.111111,0.666667,0.166667,2
0.888889,0.555556,0,0.166667,2
0.333333,0.333333,0.5,0.833333,4
0,0.777778,0,1,3
0.888889,0.666667,0,0.333333,3
0.222222,0.111111,0.166667,0.5,1
0.777778,0.666667,1,0.666667,5
0.111111,1,1,0.666667,5
1,0.444444,1,0.333333,5
0.777778,0.777778,0.5,0.5,4
0.444444,0.222222,1,1,5
0.222222,0.555556,0.333333,0.5,2
0.333333,0.333333,0.666667,1,4
0.555556,0,1,0.333333,3
0.444444,0,0.5,0.166667,1
1,0.666667,0.333333,1,5
0.222222,0.222222,0,0.166667,1
0.111111,1,0.166667,0.833333,4
0.777778,0.555556,0,1,4
0.333333,0.555556,0.166667,0,1
1,1,0.166667,0.833333,5
0.777778,0.555556,0.333333,0.666667,4
0.777778,1,1,1,5
0.444444,0.222222,0.666667,0,2
0.111111,1,0.5,0.333333,3
0,0.333333,0.833333,0.5,3
0,0.222222,0.666667,1,3
1,0,0.833333,0.833333,5
0.111111,0.111111,0.333333,0.166667,1
0.666667,0.555556,0,0.5,2
0.111111,0.333333,0,0.333333,1
0,0.777778,1,0.333333,4
0.777778,0.222222,0,0.833333,3
0.222222,0.888889,0.666667,1,5
0.555556,0.111111,0.5,0.666667,3
1,0.111111,0.166667,0.833333,4
0.555556,0.111111,0.666667,0.666667,4
0.888889,0.111111,0.166667,0.833333,3
0.888889,0.777778,0.833333,1,5
0,0.111111,0.833333,1,4
0.555556,0.222222,0.166667,0,1
0.444444,0.222222,0.333333,0.333333,2
0.444444,0.444444,1,0.5,4
1,0.222222,0.333333,0.666667,4
0.666667,0.222222,0.166667,0.166667,2
1,1,1,0.333333,5
0.111111,0.666667,0,0.666667,2
0.888889,0.777778,0.5,0.333333,4
0,0.777778,0,0.5,2
0.444444,0.444444,0.666667,0.166667,3
0,0.888889,0.5,0.333333,3
0.111111,0.444444,0.833333,0.166667,2
1,0.222222,0.833333,0.333333,4
1,0.111111,0.833333,0.833333,5
0,0,0.333333,0.333333,1
0.222222,0.888889,0.166667,0.333333,2
0.111111,0,1,0.833333,4
0.555556,0.444444,0.333333,1,4
0.555556,0.555556,0.5,0.833333,4
0,0.222222,0,0.833333,1
0.777778,0.888889,0.666667,1,5
0.111111,0.444444,0.833333,0.5,3
0.555556,0.111111,0.166667,1,3
0.777778,0.555556,0.666667,0.5,4
0,0.111111,0.833333,0.333333,2
0.222222,0.444444,0,0.5,1
0.333333,0.333333,0.333333,0.166667,1
0.222222,0.444444,1,0.833333,4
0.222222,0.111111,0.666667,0.833333,3
1,0.555556,0,0.666667,4
0.222222,0.555556,0.833333,0.166667,3
1,0.444444,0.333333,1,5
0.888889,0.777778,0.833333,0,4
1,0.666667,0.666667,0.666667,5
0.111111,0.222222,0.833333,0.666667,3
0,0.444444,0.333333,0.333333,1
1,0.222222,0.666667,0.5,4
0.666667,0.888889,1,0.666667,5
0.111111,0.666667,0.333333,0.166667,2
0.333333,0.111111,1,0.333333,3
0.333333,1,0.666667,0.5,4
0.777778,0.333333,0.333333,1,4
0.888889,0.888889,0.333333,0.5,4
0.777778,0.444444,0,0.666667,3
0.666667,0.222222,1,0.5,4
0.888889,0.666667,0.5,0.166667,4
0.888889,0.333333,0.5,0.833333,4
0.555556,0.222222,0.833333,0.166667,3
0,0.222222,0.333333,0.833333,2
0.333333,0,0.833333,0.333333,2
0.111111,0.222222,0.833333,0.333333,2
0.777778,0.333333,0.333333,0.166667,2
0.666667,0.333333,1,0.333333,4
0.888889,1,0.666667,0.666667,5
0.777778,0.666667,1,0.166667,5
0.111111,0.888889,1,0.833333,5
0.888889,1,0.166667,1,5
0.111111,0.555556,1,0,3
0.555556,0.111111,0,1,2
0.888889,0.888889,1,0.833333,5
0.666667,0.777778,0.666667,0.5,4
0.444444,0.111111,0.666667,0.166667,2
0.777778,0.222222,0.166667,1,4
0.222222,0.222222,0,1,2
0.666667,0.222222,0.833333,0.666667,4
0.333333,0.444444,0.166667,0.833333,3
0.444444,0,0.833333,0.5,3
0.555556,0.444444,0.666667,0.666667,4
0.666667,0.777778,0,0.166667,2
0.555556,0,0.333333,1,3
0.777778,0.555556,0.5,1,5
1,0.777778,0,0.333333,3
0.555556,0.444444,0.166667,0.5,2
0.111111,0.888889,0.333333,0.5,3
0.333333,0.333333,0,0.5,1
0,0.444444,0,0.5,1
0.222222,0.666667,0,1,3
0.111111,0.333333,0.5,1,3
0,0,0.833333,0.166667,1
0.111111,0.888889,1,0.833333,5
0.111111,0.444444,0.166667,0,1
0.888889,0.444444,0.666667,1,5
0.444444,0.222222,0,1,2
0,1,0.333333,0.666667,3
0.222222,0.777778,0.5,0.166667,2
0.111111,1,0.166667,0.5,3
0.111111,0.555556,0.666667,0.5,3
0.888889,1,0.666667,0.833333,5
0.222222,0,0.166667,0.333333,1
0.111111,0.555556,0.833333,0.333333,3
0,0.555556,0.666667,0.333333,2
1,0,0.166667,0.666667,3
0.666667,0.444444,0.833333,0,3
0.666667,0.777778,1,0.333333,5
0.555556,0.777778,0,0.333333,2
0.444444,1,0,0,2
0.666667,0.444444,0.333333,0.5,3
0,0.666667,0,0.5,1
0.888889,1,0.166667,1,5
1,1,0.166667,0.166667,4
0.222222,0.555556,0.5,1,4
0.111111,0.111111,0,0.666667,1
0.555556,1,0.166667,0.333333,3
0.222222,0.555556,0.833333,0.333333,3
0,1,0.166667,0.333333,2
0.333333,0.888889,0,0.166667,2
0.666667,0.888889,0.5,0.833333,5
0.666667,0.888889,0.666667,0.666667,5
0.333333,0,0,0.5,1
0.555556,0.777778,0.833333,0,4
0,0.555556,0.666667,0,2
0,1,0,0.666667,2
0.333333,0.777778,0.333333,0.666667,4
0.222222,0.777778,1,0,4
0,0.444444,0.166667,0,1
0.777778,0.555556,0.666667,0.833333,5
0,0.666667,0.333333,1,4
0.333333,0.555556,0.833333,1,5
0.666667,0,0.833333,0,2
0.444444,0.111111,0.333333,0.833333,3
1,0.444444,0,0.5,3
0.666667,0.222222,0.333333,0.666667,3
0.111111,0.888889,0.833333,0.5,4
0.222222,1,0,0.5,2
0.444444,0.111111,0.666667,0.666667,3
