g1,g2,g3,g4,g5,g6,Class
0.022252,0.002004,0.011011,0.09375,0.230769,0.363636,1
0.136885,0.039016,0.499499,0.015625,0.615385,0.159091,4
0.005394,0.0062,1,0.0625,0.153846,0.363636,4
0.066082,0.248497,0.061562,0.117188,0.076923,0.039773,1
0.037087,0.0062,0.02246,0.117188,0.019231,0.727273,2
0.07822,0.014404,0.011011,0.035156,0.019231,0.590909,2
1,0.154559,0.007007,0,0.230769,0.272727,4
0.028321,0.013652,0.095971,0.003906,0.019231,0.073864,1
0.026298,0,0.499499,0,0.461538,0.590909,4
0.028995,0.014028,0.011011,0.511719,0.615385,0.181818,3
0,0.014028,0.077202,0.4375,0.615385,1,4
0.008092,1,0.186687,0.253906,0.5,0.181818,4
0.062711,0.039016,0.02246,0.003906,0.019231,0.272727,1
0.026972,0.060621,0,0.015625,0.057692,0.159091,1
0.07822,0.060621,0.186687,0.09375,0.115385,0.107955,2
0.026298,0.095065,0.02246,0.09375,0.230769,0.272727,1
0.123399,0.091934,0.045921,0.253906,0.096154,0.113636,2
0.08294,0.070015,0.499499,0.253906,0.461538,0.727273,4
0.125421,0.123246,0.124124,0.003906,0.134615,0.073864,2
0.113284,0.029309,0.374374,0.003906,0.153846,0.113636,3
0.006069,0.162074,0.186687,0.023438,0.057692,0.079545,2
0.062711,0.006012,0.011011,0.625,0.615385,0.113636,3
0.031693,0.498998,0.092843,0.1875,0.153846,0.079545,2
0.106541,0.014404,0.097535,0.003906,0.134615,0.005682,1
1,0.039016,0.092843,0.375,0.230769,0.215909,4
0.035738,0.002004,0.097535,0.0625,0.019231,0.022727,1
0.066082,0.091934,0.053741,0.625,0,0.017045,3
0.730276,0.095065,0.092843,0.511719,0.096154,0.136364,4
0.054619,0.091934,0.045921,0,0.134615,0.113636,1
0.03911,0.154559,0,0.554688,0.5,0.636364,4
0.049225,0.001002,1,1,0.461538,0.005682,4
0.089683,0.001002,0.095971,0.253906,0.019231,0.272727,2
0.08294,0.095065,0.039977,0.015625,0.115385,0.005682,1
0.312205,0,1,0.4375,0.057692,0.107955,4
0.064059,1,0.097535,0.09375,0.615385,0.068182,4
0.224545,0.080035,0.053741,0.007813,0.115385,0.113636,1
0.096426,0.070015,0.097535,0.511719,0.096154,0.147727,3
0.059339,0.014028,0.03028,0.046875,0.134615,0.073864,1
1,0.002004,0.092843,0.554688,0.5,0.147727,4
0.190829,0.044965,0.039977,0.1875,0.307692,0.107955,2
0.062711,1,0.03028,0.0625,0.230769,0.068182,3
0.101146,0.004008,0.097535,0.375,0.134615,0.090909,2
0.096426,0.029309,0.249249,0.1875,0.038462,0.045455,2
0.101146,0.004008,0.039977,0.625,0.019231,0.085227,3
0.037087,0.039016,0.499499,0.03125,0.461538,0.636364,4
0.045179,0.014028,0.092843,0.03125,1,0.085227,2
0.037087,0.0062,0.077202,0.015625,0.461538,0.017045,1
0.020904,0.002004,0.499499,0.125,0.230769,0.590909,4
0.140256,0.498998,0.061562,0.117188,0,0.085227,2
0.312205,0.044965,0.01464,0.375,0.038462,0.068182,3
0.101146,0.091934,0.095971,0.625,0.5,0.017045,3
0.150371,0.162074,0.097535,0.03125,0.038462,0.176136,2
0.150371,0.013652,0.077202,0.1875,0.134615,0.147727,2
0.054619,0.044965,0.097535,0.035156,0.230769,0.136364,1
0.101146,0.022044,0.061562,0.4375,0.307692,0.363636,3
0.109912,1,0.186687,0,0.307692,0.727273,4
0.004046,0.248497,0,0.511719,0.019231,0.107955,2
0.527984,0.022044,0.162913,0.117188,0.115385,0.272727,3
0.136885,0.0062,0.045921,0.253906,0.230769,0.215909,2
0.101146,0.060621,0.061562,0.511719,0.5,0.181818,3
0.049225,0.013652,0.069382,0.511719,0.461538,1,4
0.064059,0.080035,0.092843,0.375,0.153846,0.727273,3
0.035738,0.0062,0.186687,0.03125,0.615385,0.085227,2
0.004046,1,0.01464,0.511719,0.057692,0.176136,4
0.07822,0.070015,0.011011,0.007813,0.019231,0.272727,1
0,0.039016,0.124124,0.5,0.115385,0.085227,3
0.150371,0.022044,0.374374,0.0625,0.5,0.073864,3
0.006069,0.004008,0.077202,0.117188,0.134615,0.107955,1
0.045179,0.013652,0.011011,0.003906,0.019231,0.005682,1
0.012138,0.006012,0.374374,0.007813,0.019231,0.011364,2
0.023601,0.014404,0.053741,0.511719,0,0.090909,2
0.527984,0.039016,0.045921,0.035156,0.019231,0.215909,3
0.312205,0.070015,0.097535,0.125,0.307692,0.272727,3
0.045179,0.002004,0.077202,0.003906,0.115385,0.363636,1
0.07822,0.0062,0,0.511719,0.461538,0.636364,3
0.125421,0.162074,0.069382,0.09375,0.307692,0.306818,2
0,0.060621,0.374374,0,0.5,0.590909,4
0.006069,0.060621,0.124124,0.1875,0.615385,0.159091,2
0.023601,0.006012,0.007007,0.554688,0.153846,0.306818,3
0.059339,0.070015,0.077202,1,0.038462,0.045455,4
0.062711,0.154559,0.077202,0.03125,0.153846,0.181818,1
0.140256,0.080035,0.007007,0.554688,0.461538,0.045455,3
0.045179,0.091934,0.011011,0.023438,0.115385,0.028409,1
0.25826,0.248497,1,0.015625,0.615385,0.039773,4
0.460553,0.022044,0.092843,0.5,0.057692,0.073864,4
0.101146,0.002004,0.039977,0.015625,0.134615,0.085227,1
0.004046,0.022044,0.092843,0.03125,0.038462,0.085227,1
0.106541,0.004008,0.374374,0.511719,0,0.363636,4
0.534727,0.004008,0.499499,0.117188,0.230769,0.295455,4
0.157114,0.013652,0.077202,0.375,0.461538,0.068182,3
0.01416,0.014028,0.069382,0.0625,1,0.363636,2
0.055968,0.01002,0.069382,0.003906,0.615385,0.306818,2
0.527984,0.022044,0.045921,0,0,0.011364,2
0.096426,0.006012,0.374374,0.554688,0.019231,0.085227,4
0.005394,1,0.02246,0.125,0.615385,1,4
0,0.070015,0.011011,0.03125,0.153846,0.034091,1
0.072825,0.070015,0.01464,0.003906,0.307692,0.005682,1
0.006069,0.006012,0.499499,0.375,1,0.295455,4
0.023601,0.044965,0.186687,0.253906,0.057692,0.113636,2
0.190829,0.154559,0.162913,0.035156,1,0.590909,4
0.062711,0.091934,0.039977,0.125,0.038462,0.181818,1
0.595415,0.248497,0.007007,0.511719,0.115385,0.056818,4
0.224545,0.022044,0.061562,1,0.115385,0.011364,4
0.064059,0.0062,0.061562,0.003906,0.153846,0.107955,1
0.059339,0,0.374374,0.125,0.307692,0.215909,3
0.028995,0.498998,0.097535,0.007813,1,0.073864,3
0.064059,0.0062,0.039977,0.125,0.076923,0.590909,2
0.028995,0.006012,0.011011,0.003906,0.615385,0.034091,1
0.072151,0.013652,0.061562,0.125,0.134615,0.272727,2
0.140256,0.006012,0.326983,0.511719,0.153846,0.045455,4
0.393122,0.080035,0.124124,0.015625,0.153846,0.039773,3
0.005394,0.029309,0.097535,0.554688,0.461538,0.136364,3
0,0.248497,0.326983,0.375,0,0.181818,3
0.022252,0.123246,0.124124,0,0.019231,0.295455,1
0.101146,0.002004,0.162913,0.03125,0.461538,0.056818,2
0.066082,0,0.01464,0.1875,0.153846,0.068182,1
0.106541,0.029309,0.007007,0.09375,0.307692,0.727273,3
0.008092,0.001002,0.045921,0.554688,0.461538,0.215909,3
0.037087,0.002004,0.095971,0.1875,0.076923,0.272727,2
0.006069,0.0062,0.499499,0.253906,1,0.079545,4
0.008092,0.070015,0.186687,0.03125,0.076923,0.159091,2
0.050573,0,0.326983,0.0625,0.038462,0.056818,2
0.035738,0.014404,0.374374,0.25,0.461538,0.039773,3
0.123399,0.123246,0.162913,0.554688,0.057692,0.039773,3
0.022252,0.070015,0.095971,1,0.5,0,4
0.026298,0.013652,0.374374,1,0.096154,0.159091,4
0.089683,0.0062,0.039977,0.5,0.230769,0.090909,3
0.224545,0.162074,0.077202,0.125,0.5,0.159091,3
0.25826,0.013652,0.077202,0.25,0.615385,0.107955,3
0.125421,0.001002,0.045921,0.046875,0.057692,0.159091,1
0.393122,0.123246,0.374374,0.03125,0.153846,0.590909,4
0.072825,0.154559,0.097535,0.117188,0.5,0.034091,2
0.066757,1,0.249249,0.007813,0.096154,0.028409,3
0.020904,0.014404,0.162913,0.0625,0,0.636364,2
0.066757,0.0062,0.069382,0.035156,1,0.073864,2
